iter	Passed	Remaining
0	3	9677
1	5	7794
2	7	7246
3	8	6707
4	10	6300
5	11	5864
6	12	5558
7	14	5295
8	15	5129
9	16	4993
10	18	4909
11	19	4796
12	20	4677
13	21	4558
14	22	4472
15	23	4390
16	24	4324
17	25	4286
18	27	4271
19	28	4232
20	29	4215
21	30	4173
22	31	4129
23	33	4092
24	34	4060
25	35	4037
26	36	4021
27	37	3994
28	38	3963
29	39	3939
30	40	3918
31	42	3902
32	43	3901
33	44	3911
34	46	3918
35	47	3906
36	48	3913
37	50	3921
38	51	3923
39	52	3920
40	54	3968
41	56	4003
42	65	4482
43	68	4605
44	70	4632
45	72	4635
46	73	4649
47	76	4678
48	77	4676
49	79	4680
50	80	4680
51	82	4702
52	86	4798
53	88	4818
54	90	4826
55	91	4808
56	93	4808
57	94	4787
58	95	4765
59	96	4749
60	98	4729
61	99	4708
62	100	4703
63	102	4692
64	103	4676
65	104	4657
66	106	4642
67	107	4628
68	109	4636
69	111	4646
70	112	4640
71	114	4637
72	116	4656
73	117	4648
74	119	4643
75	120	4641
76	122	4632
77	123	4631
78	125	4635
79	128	4674
80	130	4689
81	131	4690
82	133	4682
83	134	4679
84	136	4670
85	137	4661
86	139	4654
87	140	4647
88	142	4648
89	143	4639
90	144	4632
91	146	4623
92	147	4616
93	149	4616
94	151	4618
95	152	4612
96	153	4604
97	155	4597
98	156	4595
99	158	4598
100	159	4584
101	161	4580
102	162	4577
103	164	4571
104	165	4575
105	167	4578
106	169	4582
107	171	4589
108	172	4586
109	175	4605
110	178	4640
111	179	4639
112	181	4641
113	183	4643
114	185	4641
115	186	4639
116	188	4635
117	189	4635
118	191	4640
119	193	4641
120	195	4653
121	197	4651
122	199	4657
123	201	4664
124	203	4687
125	205	4691
126	207	4688
127	208	4680
128	209	4673
129	211	4677
130	213	4680
131	215	4677
132	216	4674
133	218	4673
134	220	4670
135	221	4669
136	223	4672
137	225	4674
138	227	4673
139	228	4667
140	229	4661
141	231	4659
142	233	4671
143	235	4670
144	236	4666
145	238	4663
146	240	4673
147	242	4664
148	243	4662
149	245	4659
150	246	4659
151	249	4665
152	250	4666
153	252	4670
154	254	4671
155	257	4688
156	259	4702
157	261	4708
158	263	4709
159	265	4706
160	266	4700
161	268	4695
162	269	4687
163	270	4679
164	271	4671
165	273	4666
166	274	4658
167	275	4650
168	277	4641
169	278	4634
170	279	4628
171	281	4623
172	282	4619
173	284	4615
174	286	4619
175	287	4618
176	289	4614
177	291	4619
178	293	4628
179	295	4623
180	296	4620
181	297	4604
182	299	4606
183	301	4607
184	302	4602
185	303	4596
186	305	4594
187	307	4603
188	309	4597
189	310	4597
190	312	4593
191	313	4588
192	315	4588
193	317	4593
194	320	4606
195	322	4619
196	327	4659
197	331	4693
198	335	4719
199	338	4733
200	342	4764
201	344	4775
202	346	4774
203	349	4783
204	352	4812
205	355	4819
206	357	4825
207	359	4825
208	361	4824
209	364	4846
210	393	5207
211	408	5376
212	410	5374
213	423	5507
214	425	5506
215	431	5559
216	434	5572
217	437	5585
218	440	5593
219	442	5591
220	444	5584
221	445	5576
222	447	5570
223	448	5562
224	450	5555
225	451	5546
226	453	5535
227	454	5527
228	456	5520
229	457	5510
230	458	5499
231	460	5492
232	461	5486
233	464	5485
234	466	5483
235	467	5480
236	469	5478
237	471	5475
238	473	5466
239	476	5483
240	478	5477
241	480	5476
242	482	5469
243	483	5459
244	485	5461
245	490	5486
246	491	5480
247	493	5477
248	495	5470
249	496	5458
250	497	5451
251	499	5445
252	501	5439
253	502	5434
254	505	5441
255	507	5435
256	509	5433
257	510	5429
258	512	5422
259	514	5418
260	516	5416
261	517	5412
262	519	5407
263	521	5402
264	522	5397
265	524	5391
266	526	5392
267	529	5399
268	531	5393
269	533	5389
270	534	5382
271	536	5382
272	538	5374
273	539	5365
274	540	5357
275	541	5348
276	543	5341
277	545	5337
278	546	5330
279	547	5321
280	549	5314
281	550	5306
282	551	5298
283	553	5294
284	554	5285
285	556	5278
286	557	5270
287	558	5262
288	559	5250
289	561	5244
290	562	5240
291	564	5237
292	566	5230
293	567	5222
294	569	5219
295	570	5211
296	571	5204
297	573	5198
298	574	5192
299	577	5194
300	579	5200
301	582	5199
302	584	5200
303	585	5193
304	586	5186
305	588	5179
306	589	5172
307	591	5167
308	593	5165
309	594	5161
310	596	5157
311	597	5148
312	598	5140
313	599	5132
314	601	5125
315	602	5120
316	604	5112
317	605	5105
318	607	5101
319	608	5095
320	610	5091
321	611	5083
322	612	5076
323	613	5069
324	614	5061
325	616	5054
326	617	5049
327	619	5042
328	620	5036
329	621	5029
330	622	5023
331	624	5016
332	625	5010
333	627	5006
334	628	5000
335	629	4993
336	631	4987
337	632	4980
338	633	4975
339	635	4970
340	636	4965
341	638	4963
342	640	4959
343	641	4954
344	643	4948
345	644	4941
346	645	4934
347	646	4927
348	647	4921
349	649	4915
350	650	4911
351	652	4905
352	653	4899
353	654	4893
354	656	4888
355	657	4882
356	658	4877
357	660	4871
358	661	4864
359	662	4858
360	663	4850
361	664	4843
362	665	4837
363	667	4832
364	668	4825
365	669	4818
366	670	4812
367	672	4806
368	673	4801
369	675	4798
370	676	4795
371	678	4791
372	679	4787
373	681	4783
374	683	4782
375	684	4777
376	686	4777
377	687	4772
378	690	4772
379	692	4773
380	693	4769
381	695	4765
382	696	4761
383	698	4757
384	700	4754
385	701	4749
386	702	4745
387	704	4739
388	705	4734
389	706	4730
390	708	4725
391	709	4719
392	710	4713
393	711	4708
394	712	4701
395	714	4696
396	715	4691
397	717	4688
398	718	4682
399	720	4681
400	721	4676
401	722	4670
402	724	4667
403	725	4662
404	726	4657
405	728	4653
406	729	4648
407	730	4642
408	732	4638
409	733	4633
410	734	4629
411	736	4624
412	737	4619
413	739	4616
414	740	4612
415	742	4609
416	743	4606
417	745	4601
418	746	4597
419	747	4591
420	749	4591
421	751	4587
422	752	4584
423	753	4580
424	755	4576
